13,Baby Boomer,Business and Financial Operations Occupations,1099023,1225149,126126,11.48,15.43,17,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1928,2193,265,13.74,9.24,10,0.76,320,265,2,Millennial Growth,53,44
13,Millennial,Business and Financial Operations Occupations,1992479,1981010,-11469,-0.58,27.97,27,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",7711,8031,320,4.15,36.94,37,0.06,320,265,2,Millennial Growth,53,44
45,Baby Boomer,"Farming, Fishing, and Forestry Occupations",116155,124627,8472,7.29,10.38,11,45-2099,"Agricultural Workers, All Other",1121,1259,138,12.31,7.22,8,0.78,258,138,2,Millennial Growth,43,23
45,Millennial,"Farming, Fishing, and Forestry Occupations",322034,337045,15011,4.66,28.77,30,45-2099,"Agricultural Workers, All Other",5452,5710,258,4.73,35.13,35,-0.13,258,138,2,Millennial Growth,43,23
53,Baby Boomer,Transportation and Material Moving Occupations,1374052,1505802,131750,9.59,13.78,16,53-2011,"Airline Pilots, Copilots, and Flight Engineers",11375,13742,2367,20.81,16.14,20,3.86,-1522,2367,0,Millennial Exit,-254,395
53,Millennial,Transportation and Material Moving Occupations,2524305,2379228,-145077,-5.75,25.32,26,53-2011,"Airline Pilots, Copilots, and Flight Engineers",11591,10069,-1522,-13.13,16.45,15,-1.45,-1522,2367,0,Millennial Exit,-254,395
45,Millennial,"Farming, Fishing, and Forestry Occupations",322034,337045,15011,4.66,28.77,30,45-2021,Animal Breeders,1620,1645,25,1.54,39.32,41,1.68,25,20,2,Millennial Growth,4,3
45,Baby Boomer,"Farming, Fishing, and Forestry Occupations",116155,124627,8472,7.29,10.38,11,45-2021,Animal Breeders,248,268,20,8.06,6.01,7,0.99,25,20,2,Millennial Growth,4,3
23,Millennial,Legal Occupations,335642,320408,-15234,-4.54,25.76,26,23-1022,"Arbitrators, Mediators, and Conciliators",1440,1400,-40,-2.78,17.54,17,-0.54,-40,-7,NULL,Shrinking,-7,-1
23,Baby Boomer,Legal Occupations,214033,222448,8415,3.93,16.43,18,23-1022,"Arbitrators, Mediators, and Conciliators",1586,1579,-7,-0.44,19.33,20,0.67,-40,-7,NULL,Shrinking,-7,-1
19,Millennial,"Life, Physical, and Social Science Occupations",312140,328219,16079,5.15,26.96,27,19-2021,Atmospheric and Space Scientists,2961,3148,187,6.32,29.74,29,-0.74,187,250,1,Millennial Exit,31,42
19,Baby Boomer,"Life, Physical, and Social Science Occupations",189040,214879,25839,13.67,16.33,18,19-2021,Atmospheric and Space Scientists,1478,1728,250,16.91,14.84,16,1.16,187,250,1,Millennial Exit,31,42
