Job Title,Company Name,Location,Status,Skills Requirements
Python Developer - Team Leader,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeHybrid,Full TimeHybridManager · 6+ Yrs of Exp · IT/Software Development · Angular · Computer Science · Development · Git · Django · Information Technology (IT) · Python · Software Development · Web Development
Senior Python Developer (Minya),OdooTec -,"Minya, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science
Python Developer,Boca Pro  -,"Maadi, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · AWS · Computer Science · Django · Engineering · Flask · front-end · HTML5 · Information Technology (IT)
Data Entry (With Python Automation Experience),Confidential -,"Madina, Saudi Arabia ",Full TimeRemote,Full TimeRemoteEntry Level · 1 - 2 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Python Scripting · Python · Data Entry · Administration · Customer Service · Data · entry
Python (Django) Developer,Teqneia -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · APIs · Development · Information Technology (IT) · Computer Science · Git · Odoo
Backend Engineer (Python) - EdTech Startup,Darsel -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science
Senior Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Development · Computer Science · Software Development · Software Engineering · APIs · Information Technology (IT) · Communication skills · Team Leadership
Renewable Energy Engineer,Storlytics -- -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
