Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,648125.0,6.0,2100000.0,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,574785.0,11.9,1525000.0,"Seattle, Washington"
3,Apple,Electronics industry,383482.0,-2.8,161000.0,"Cupertino, California"
4,UnitedHealth Group,Healthcare,371622.0,14.6,440000.0,"Minnetonka, Minnesota"
5,Berkshire Hathaway,Conglomerate,364482.0,20.7,396500.0,"Omaha, Nebraska"
6,CVS Health,Healthcare,357776.0,10.9,259500.0,"Woonsocket, Rhode Island"
7,ExxonMobil,Petroleum industry,344582.0,-16.7,61500.0,"Spring, Texas"
8,Alphabet,Technology and cloud computing,307394.0,8.7,182502.0,"Mountain View, California"
9,McKesson Corporation,Health,276711.0,4.8,48000.0,"Irving, Texas"
10,Cencora,Pharmacy wholesale,262173.0,9.9,44000.0,"Conshohocken, Pennsylvania"
11,Costco,Retail,242290.0,6.8,316000.0,"Issaquah, Washington"
12,JPMorgan Chase,Financial services,239425.0,54.7,309926.0,"New York City, New York"
13,Microsoft,Technology and cloud computing,211915.0,6.9,221000.0,"Redmond, Washington"
14,Cardinal Health,Healthcare,205012.0,13.0,47520.0,"Dublin, Ohio"
15,Chevron Corporation,Petroleum industry,200949.0,-18.4,45600.0,"Houston, Texas"
16,Cigna,Health insurance,195265.0,8.2,71413.0,"Bloomfield, Connecticut"
17,Ford Motor Company,Automotive industry,176191.0,11.5,177000.0,"Dearborn, Michigan"
18,Bank of America,Financials,171912.0,49.4,212985.0,"Charlotte, North Carolina"
19,General Motors,Automotive industry,171842.0,9.6,163000.0,"Detroit, Michigan"
20,Elevance Health,Healthcare,171340.0,9.4,104900.0,"Indianapolis, Indiana"
21,Citigroup,Financials,156820.0,55.1,237925.0,"New York City, New York"
22,Centene,Healthcare,153999.0,6.5,67700.0,"St. Louis, Missouri"
23,The Home Depot,Retail,152669.0,-3.0,463100.0,"Atlanta, Georgia"
24,Marathon Petroleum,Petroleum industry,150307.0,-16.5,18200.0,"Findlay, Ohio"
25,Kroger,Retail,150039.0,-3.6,414000.0,"Cincinnati, Ohio"
26,Phillips 66,Petroleum industry,149890.0,-14.7,14000.0,"Houston, Texas"
27,Fannie Mae,Financials,141240.0,16.2,8100.0,"Washington, D.C."
28,Walgreens Boots Alliance,Pharmaceutical industry,139081.0,4.8,268500.0,"Deerfield, Illinois"
