Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,profit,ROM
1,Peoria,Arizona,Region 2,Old,2601,48610,46009,17.69
2,Midland,Texas,Region 2,Old,2727,45689,42962,15.75
3,Spokane,Washington,Region 2,Old,2768,49554,46786,16.9
4,Denton,Texas,Region 2,Old,2759,38284,35525,12.88
5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,19.87
6,Yonkers,New York,Region 1,Old,3080,53827,50747,16.48
7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,18.4
8,Antioch,California,Region 2,Old,2593,19569,16976,6.55
9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,21.37
10,Rochester,New York,Region 1,Old,2984,64906,61922,20.75
11,Rialto,California,Region 2,Old,2541,16860,14319,5.64
12,Santa Maria,California,Region 2,Old,2651,21988,19337,7.29
13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,5.87
14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,14.78
15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,5.88
16,Temecula,California,Region 2,Old,2795,16690,13895,4.97
17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,16.44
18,Fontana,California,Region 2,Old,3085,63027,59942,19.43
19,Kent,Washington,Region 2,Old,2894,43183,40289,13.92
20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,5.92
21,Concord,California,Region 2,Old,2521,38178,35657,14.14
22,Modesto,California,Region 2,Old,3077,56836,53759,17.47
23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,14.85
24,Burbank,California,Region 2,Old,3679,20123,16444,4.47
25,Elk Grove,California,Region 2,Old,2918,49856,46938,16.09
26,Port St. Lucie,Florida,Region 1,Old,2420,55790,53370,22.05
27,Elizabeth,New Jersey,Region 1,Old,2557,45017,42460,16.61
28,Salt Lake City,Utah,Region 2,Old,3620,56921,53301,14.72
29,Waco,Texas,Region 2,Old,2483,39744,37261,15.01
30,Edison,New Jersey,Region 1,Old,3131,22972,19841,6.34
31,Boulder,Colorado,Region 2,Old,3083,22680,19597,6.36
32,Grand Rapids,Michigan,Region 1,Old,2808,65475,62667,22.32
33,Tyler,Texas,Region 2,Old,2984,21718,18734,6.28
34,Charleston,South Carolina,Region 1,Old,2484,34829,32345,13.02
35,Huntsville,Alabama,Region 1,Old,3335,59283,55948,16.78
36,Pearland,Texas,Region 2,Old,3127,20057,16930,5.41
37,Inglewood,California,Region 2,Old,2904,20455,17551,6.04
38,Oxnard,California,Region 2,Old,2318,64302,61984,26.74
39,Miramar,Florida,Region 1,Old,3488,49506,46018,13.19
40,Cape Coral,Florida,Region 1,Old,2886,52250,49364,17.1
41,Syracuse,New York,Region 1,Old,2373,41313,38940,16.41
42,Newport News,Virginia,Region 1,Old,2758,57625,54867,19.89
43,Lewisville,Texas,Region 2,Old,2607,16029,13422,5.15
44,Carrollton,Texas,Region 2,Old,3146,49191,46045,14.64
45,San Bernardino,California,Region 2,Old,3399,59870,56471,16.61
46,Pasadena,California,Region 2,Old,2790,48254,45464,16.3
47,Roseville,California,Region 2,Old,3220,43397,40177,12.48
48,Murrieta,California,Region 2,Old,2344,16372,14028,5.98
49,San Angelo,Texas,Region 2,Old,2939,50233,47294,16.09
50,Olathe,Kansas,Region 2,Old,3082,41460,38378,12.45
51,Akron,Ohio,Region 1,Old,2338,50364,48026,20.54
